시도,구군,행정구역명,하수처리장명,하수처리 시설용량,처리구역면적_합,처리구역면적_합류식,처리구역면적_분류식,분류식화율,배수설비_합계(개소),배수설비_합류식(개소),배수설비_분류식합계(개소),배수설비_분류식연결(개소),배수설비_분류식미연결(개소),하수관로_총시설연장,하수관로_차집_오수간선합계,하수관로_차집,하수관로_오수간선,하수관로_합류식우수토실(개소),하수관로_분류식우수토실(개소),하수관로_분류식우수토구(개소),하수관로_지선합계,하수관로_지선합류식,하수관로_지선분류식우수,하수관로_지선분류식오수
서울특별시,강남구,강남구,서남,1630000,5.35,5.3,0.05,0.9,0,0,0,0,0,161091.054,0,0,0,6,0,16,161091.054,160390.344,0,700.71
서울특별시,송파구,송파구,탄천,900000,28.4,16,12.4,43.7,0,0,0,0,0,708733.699,34757.18,34757.18,0,37,0,135,673976.519,411280.904,108682.13,154013.485
서울특별시,강동구,강동구,탄천,900000,18.6,11,7.6,40.9,0,0,0,0,0,472949.583,19856.19,19856.19,0,16,0,84,453093.393,356714.23,36399.921,59979.242
부산광역시,중구,중구,중앙,120000,1.684,0.041,1.643,97.6,10927,6806,4121,4121,0,157599,7435,0,7435,27,0,31,150164,83491,9063,57610
부산광역시,서구,서구,중앙,120000,6.925,6.502,0.423,6.1,14748,13432,1316,1316,0,425321,9145,0,9145,24,0,26,416176,348626,35690,31860
부산광역시,동구,동구,남부,340000,7.737,0.204,7.533,97.4,14063,5128,8935,8935,0,236400,11994,0,11994,43,0,38,224406,201507,10687,12212
부산광역시,영도구,영도구,영도,95000,8.819,8.256,0.563,6.4,1429,708,721,721,0,315647,12999,0,12999,14,0,114,302648,214432,57240,30976
부산광역시,부산진구,부산진구,남부,340000,12.99,1.311,11.679,89.9,56264,33336,22928,22928,0,942936,18493,3612,14881,175,0,29,924443,669916,75473,179054
부산광역시,동래구,동래구,수영,452000,14.242,0.851,13.391,94,25709,9783,15926,15926,0,556646,34698,0,34698,111,0,175,521948,335421,24283,162244
부산광역시,남구,남구,남부,340000,20.553,9.446,11.107,54,23475,12512,10963,10963,0,444187,31437,0,31437,113,0,85,412750,271196,38648,102906
부산광역시,북구,북구,강변(장림),450000,10.656,1.127,9.529,89.4,9226,1111,8115,8115,0,553210,19802,0,19802,94,0,62,533408,318627,80250,134531
부산광역시,해운대구,해운대구,해운대,65000,5.301,1.168,4.133,78,2240,680,1560,1560,0,24687,24687,0,24687,0,0,0,0,0,0,0
부산광역시,해운대구,해운대구,동부,135000,9.239,5.183,4.056,43.9,11784,10128,1656,1656,0,21660,21660,2608,19052,0,0,0,0,0,0,0
