"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"시설연장 (m)","소계",소계,합계,중랑구,-,-,-,-,395624,396318,397014,397473,398203,398203,387873,387536,389505,401771,404661,404661,422738,423074,432173,429297,429094
"시설연장 (m)","소계",소계,합계,성북구,-,-,-,-,464152,465364,463110,461376,460951,461348,478701,474052,470923,472526,471062,485239,513588,508060,505756,507503,505498
"시설연장 (m)","소계",소계,합계,강북구,-,-,-,-,337363,337777,338250,337547,338305,337565,328710,332465,331388,333583,332545,332849,354927,356942,356781,356464,356571
"시설연장 (m)","소계",소계,합계,도봉구,-,-,-,-,277661,277869,277869,277869,277869,278338,275367,292625,291844,293108,293265,293265,322420,326068,325794,329426,329484
"시설연장 (m)","소계",소계,합계,노원구,-,-,-,-,555059,555126,556674,557683,559215,559215,550346,386815,393523,396484,400617,400617,442951,447075,445716,448628,450294
"시설연장 (m)","소계",소계,합계,은평구,-,-,-,-,470212,470733,470791,470791,470071,460278,413498,447840,446616,454697,455174,455174,478105,476527,474432,482745,480898
"시설연장 (m)","소계",소계,합계,서대문구,-,-,-,-,396328,396600,395520,395945,397409,399259,345657,347848,347262,332424,331933,332051,353385,351299,348146,348434,348427
"시설연장 (m)","소계",소계,합계,마포구,-,-,-,-,482850,482910,483017,483362,483406,484077,470870,448074,451376,447358,443981,443888,465356,465739,463862,462746,463039
"시설연장 (m)","소계",소계,합계,양천구,-,-,-,-,300769,300962,301720,302210,302559,302559,365836,372170,383389,386351,387670,388035,392560,392413,390769,388992,388980
"시설연장 (m)","소계",소계,합계,강서구,-,-,-,-,461506,463893,476104,476627,476937,477679,478908,371065,471903,471693,505641,508037,527370,527456,563986,564816,566351
"시설연장 (m)","소계",소계,합계,구로구,-,-,-,-,299634,300578,300946,301211,301211,301983,366206,368513,370096,374655,379757,379819,387399,388998,391369,402766,403205
